tidak baku;baku
a;kakak
aa;kakak
abis;habis
account;akun
aja;saja
ajaaa;saja
anyar;baru
anyonghaseyo;halo
apa2;apa
bapa;bapak
bawain;bawa
beres;selesai
big;besar
blg;bilang
blm;belum
bobok;tidur
booking;pemesanan
bpk;bapak
bsa;bisa
bsk;besok
bsok;besok
cepet;cepat
city;kota
code;kode
cs;pelayanan pelanggan
cuma;cuman
dbls;dibalas
deket;dekat
delete;hapus
dgn;dengan
diapain;diapakan
dikit;sedikit
discond;diskon
diundi;undian
dll;dan lain lain
dmna;dimana
domestic;domestik
dooong;dong
dpn;depan
dpt;dapat
dptkan;dapatkan
dr;dari
dri;dari
dsb;dan sebagainya
email;surat elektronik
enakk;enak
engga;tidak
enteni ;tunggu
error;kesalahan
etiket;elektronik tiket
event;peristiwa
form;formulir
formnya;formulirnya
ga;tidak
gaaa;tidak
gak;tidak
games;permainan
gatau;tidak tahu
gdung;gedung
gitu;begitu
gpp;tidak apa
gt;begitu
gw;akun
hnya;hanya
hp;telepon genggam
hrga;harga
hrus;harus
hsil;hasil
hub;hubungi
iki;ini
indo;indonesia
iyaaa;iya
jamber;jam berapa
jatoh;jatuh
jd;jadi 
jg;juga
jgn;jangan
jka;jika
kak;kakak
kaka;kakak
kalo;kalau
kang;akang
kayaknya;sepertinya
kep;keperluan
keyword;kata kunci
kl;kalau
klo;kalau
kluarganya;keluarganya
kosan;indekos
kpd;kepada
ktp;kartu tanda penduduk
ku;akun
kyknya;sepertnya
lab;laboratorium
lg;lagi
malem;malam
males;malas
masukin;masukan
mdpt;mendapatkan
mendpt;mendapatkan
mhs;mahasiswa
million;juta
mlm;malam
mndpt;mendapatkan
mndptkan;mendapatkan
monitor;layar
ndisek;dulu
netnya;nettonya
ngajakin;mengajak
ngaku;mengaku
ngampus;kampus
ngehubungin;berhubungan
ngejar;mengejar
ngomong;berbicara
ngubek;cari
nmr;nomor
nmrku;nomorku
no;nomor
npwp;nomor pokok wajib pajak
ntar;nanti
nti;nanti
nyetok;setok
nyoba;mencoba
nyusul;menyusul
of ;dari
one;satu
online;daring
org;orang
pak;bapak
pake;pakai
papa;papah
pas;tepat
pengen;pengin
pengkolan;belokan
penteng;
prodi;program studi
pull;dorong
quiz;kuis
rb;ribu
regular;reguler
rek;rekening
reservasi;pesan
rp;rupiah
sale;diskon
sbg;sebagai
sdh;sudah
sdr;saudara
sendiiri;sendiri
service;layanan
simcard;kartu sim
sja;saja
skrg;sekarang
slah;salah
slmt;selamat
sma;sama
spt;sepertinya
sync;sikronisasi
tak;tidak
td;tadi
tdk;tidak
teh;kakak
temen;teman
tgl;tanggal
tks;terimakasih
tlp;telepon 
tlpn;telepon
tp;tapi
tpi;tapi
trims;terimakasih
trmks;terimakasih
trs;terus
ttg;tentang
tukokno;belikan
udah;sudah
udh;sudah
ujug;tiba
utk;untuk
waaah ;wah
wallppr;kertas dinding
wibb;wib
wisudaan;wisuda
yaa;iya
yah;ayah
yg;yang
yth;yang terhormat
yuk;ayuk
